Country,1900-1949,1950-1979,1980-1999,2000-2025
United States of America,8,15,72,122
Jamaica,4,2,5,2
India,2,49,77,204
Cabo Verde,0,0,0,3
Myanmar,0,6,5,30
Niger,0,1,5,29
Bangladesh,0,14,44,46
Philippines,0,14,42,109
"China, Hong Kong Special Administrative Region",0,14,9,2
Greece,4,2,3,22
Spain,3,7,9,24
Haiti,0,4,16,49
Japan,4,20,11,28
France,3,4,16,43
Burkina Faso,0,1,5,18
Gambia,0,0,2,10
Guinea-Bissau,0,0,0,4
Mali,0,0,5,23
Mauritania,0,0,5,16
Senegal,0,2,6,16
Chad,0,0,6,18
China,9,10,84,224
Taiwan (Province of China),0,2,3,5
Canada,0,3,11,33
Tokelau,0,0,0,0
Netherlands (Kingdom of the),1,1,3,1
Anguilla,0,0,0,0
Germany Federal Republic,3,1,2,0
United Kingdom of Great Britain and Northern Ireland,2,2,8,28
Soviet Union,0,0,18,0
Romania,1,2,8,44
Bahamas,0,0,1,1
Pakistan,0,13,21,89
Cuba,0,1,14,11
Belgium,2,3,4,9
Algeria,1,8,11,33
Poland,1,1,5,10
Puerto Rico,0,1,2,6
Guadeloupe,0,0,1,0
Montserrat,0,0,0,0
Saint Kitts and Nevis,0,0,1,0
Dominican Republic,0,1,7,26
Fiji,0,1,2,7
Belize,0,1,2,2
Honduras,0,3,13,22
Trinidad and Tobago,0,0,2,2
El Salvador,0,0,6,12
Republic of Korea,0,13,10,21
New Zealand,1,5,20,17
New Caledonia,0,0,0,0
Vanuatu,0,0,0,2
Portugal,0,3,4,6
Cook Islands,0,0,0,0
Azores Islands,0,0,0,0
Albania,1,0,5,12
Bermuda,0,0,0,0
R¨¦union,0,0,0,0
T¨¹rkiye,2,5,12,31
Italy,0,9,8,36
Brazil,1,26,43,117
Guatemala,1,1,7,30
Antigua and Barbuda,0,0,0,0
Ecuador,0,8,7,29
Iran (Islamic Republic of),0,10,41,45
Comoros,0,0,0,2
Mexico,0,11,21,49
Morocco,0,11,5,19
Viet Nam,0,4,19,85
South Africa,0,5,11,41
Indonesia,0,19,54,212
Iraq,0,3,0,15
Netherlands Antilles,0,0,0,0
Egypt,0,3,5,6
Nepal,0,4,18,37
Barbados,0,1,1,0
Saint Vincent and the Grenadines,0,1,3,3
Australia,0,7,18,49
Lebanon,0,1,1,1
Dominica,0,0,0,0
Solomon Islands,0,0,0,5
Mozambique,0,6,5,33
Afghanistan,0,5,14,91
Sri Lanka,0,5,26,53
Canary Islands,0,0,0,3
French Polynesia,0,0,0,1
Argentina,0,7,20,43
Niue,0,0,0,0
Colombia,0,11,23,76
Saint Lucia,0,0,0,3
Martinique,0,0,0,0
Mauritius,0,0,0,1
Nicaragua,0,4,3,16
Tonga,0,0,0,0
Somalia,0,2,9,41
Thailand,0,4,25,74
Guam,0,0,0,0
Peru,0,7,18,53
Tunisia,0,7,3,8
Grenada,0,1,0,0
Jordan,0,3,3,2
Paraguay,0,4,9,17
Saudi Arabia,0,1,1,22
Kenya,0,4,5,55
United Republic of Tanzania,0,5,15,39
Panama,0,6,6,29
Yugoslavia,0,3,3,0
Samoa,0,0,0,1
