Country,1900-1949,1950-1979,1980-1999,2000-2025
United States of America,1,10,12,17
Jamaica,0,0,0,0
India,0,9,20,35
Cabo Verde,0,0,0,0
Myanmar,0,0,0,2
Niger,0,0,0,0
Bangladesh,0,0,10,15
Philippines,0,0,0,1
"China, Hong Kong Special Administrative Region",0,0,1,0
Greece,0,0,4,7
Spain,0,1,3,9
Haiti,0,0,0,0
Japan,0,0,0,18
France,0,0,5,19
Burkina Faso,0,0,0,0
Gambia,0,0,0,0
Guinea-Bissau,0,0,0,0
Mali,0,0,0,0
Mauritania,0,0,0,0
Senegal,0,0,0,0
Chad,0,0,0,0
China,0,0,5,9
Taiwan (Province of China),0,0,0,1
Canada,1,0,2,5
Tokelau,0,0,0,0
Netherlands (Kingdom of the),0,0,0,11
Anguilla,0,0,0,0
Germany Federal Republic,0,1,0,0
United Kingdom of Great Britain and Northern Ireland,0,0,2,13
Soviet Union,0,0,0,0
Romania,0,0,4,18
Bahamas,0,0,0,0
Pakistan,0,3,5,13
Cuba,0,0,0,0
Belgium,0,1,1,15
Algeria,0,0,0,3
Poland,0,0,3,19
Puerto Rico,0,0,0,0
Guadeloupe,0,0,0,0
Montserrat,0,0,0,0
Saint Kitts and Nevis,0,0,0,0
Dominican Republic,0,0,0,0
Fiji,0,0,0,0
Belize,0,0,1,0
Honduras,0,0,0,0
Trinidad and Tobago,0,0,0,0
El Salvador,0,0,0,1
Republic of Korea,0,0,1,4
New Zealand,0,0,0,1
New Caledonia,0,0,0,0
Vanuatu,0,0,0,0
Portugal,0,0,0,9
Cook Islands,0,0,0,0
Azores Islands,0,0,0,0
Albania,0,0,1,6
Bermuda,0,0,0,0
R¨¦union,0,0,0,0
T¨¹rkiye,0,0,2,6
Italy,0,0,1,13
Brazil,0,3,2,2
Guatemala,0,0,0,4
Antigua and Barbuda,0,0,0,0
Ecuador,0,0,0,0
Iran (Islamic Republic of),0,1,0,0
Comoros,0,0,0,0
Mexico,0,2,9,7
Morocco,0,0,0,7
Viet Nam,0,0,0,1
South Africa,0,0,1,2
Indonesia,0,0,0,0
Iraq,0,0,0,0
Netherlands Antilles,0,0,0,0
Egypt,0,0,2,2
Nepal,0,0,0,7
Barbados,0,0,0,0
Saint Vincent and the Grenadines,0,0,0,0
Australia,0,0,4,3
Lebanon,0,0,0,2
Dominica,0,0,0,0
Solomon Islands,0,0,0,0
Mozambique,0,0,0,0
Afghanistan,0,0,2,7
Sri Lanka,0,0,0,0
Canary Islands,0,0,0,1
French Polynesia,0,0,0,0
Argentina,0,1,1,6
Niue,0,0,0,0
Colombia,0,0,0,0
Saint Lucia,0,0,0,0
Martinique,0,0,0,0
Mauritius,0,0,0,0
Nicaragua,0,0,0,0
Tonga,0,0,0,0
Somalia,0,0,0,0
Thailand,0,0,0,3
Guam,0,0,0,0
Peru,0,0,2,10
Tunisia,0,0,0,0
Grenada,0,0,0,0
Jordan,0,0,1,2
Paraguay,0,0,0,3
Saudi Arabia,0,0,0,1
Kenya,0,0,0,0
United Republic of Tanzania,0,0,0,0
Panama,0,0,0,0
Yugoslavia,0,0,1,0
Samoa,0,0,0,0
Wallis and Futuna Islands,0,0,0,0
Chile,0,0,1,7
Malaysia,0,0,0,0
Bolivia (Plurinational State of),0,0,0,4
Botswana,0,0,0,0
Ethiopia,0,0,0,0
Togo,0,0,0,0
Mongolia,0,0,0,7
Lao People's Democratic Republic,0,0,0,1
American Samoa,0,0,0,0
Uruguay,0,0,0,4
Malawi,0,0,0,0
Syrian Arab Republic,0,0,0,0
Venezuela (Bolivarian Republic of),0,0,0,0
Uganda,0,0,0,0
Madagascar,0,0,0,0
Ghana,0,0,0,0
Lesotho,0,0,0,0
Suriname,0,0,0,0
Costa Rica,0,0,0,0
Cyprus,0,0,1,5
Benin,0,0,0,0
Yemen Arab Republic,0,0,0,0
Hungary,0,0,0,9
Guyana,0,0,0,0
Cameroon,0,0,0,0
Papua New Guinea,0,0,0,0
Kiribati,0,0,0,0
Tuvalu,0,0,0,0
People's Democratic Republic of Yemen,0,0,0,0
Central African Republic,0,0,0,0
Rwanda,0,0,0,0
Sierra Leone,0,0,0,0
Sudan,0,0,0,1
Zimbabwe,0,0,0,0
Denmark,0,0,0,3
Sweden,0,0,0,4
Austria,0,0,0,9
Switzerland,0,0,0,8
Oman,0,0,0,0
Djibouti,0,0,0,0
Zambia,0,0,0,0
Nigeria,0,0,1,1
Democratic Republic of the Congo,0,0,0,0
C?te d¡¯Ivoire,0,0,0,0
Guinea,0,0,0,0
Liberia,0,0,1,0
Bulgaria,0,0,1,11
Czechoslovakia,0,0,2,0
Angola,0,0,0,0
Namibia,0,0,0,0
Eswatini,0,0,0,0
Ireland,0,0,0,3
Luxembourg,0,0,0,4
Congo,0,0,0,0
Sao Tome and Principe,0,0,0,0
German Democratic Republic,0,0,0,0
Turks and Caicos Islands,0,0,0,0
Maldives,0,0,0,0
Democratic People's Republic of Korea,0,0,0,1
Micronesia (Federated States of),0,0,0,0
Cambodia,0,0,0,1
Gabon,0,0,0,0
Iceland,0,0,0,1
Burundi,0,0,0,0
United States Virgin Islands,0,0,0,0
Germany,0,0,1,15
Finland,0,0,0,3
Norway,0,0,0,3
Marshall Islands,0,0,0,0
Israel,0,0,1,1
Yemen,0,0,0,0
Serbia Montenegro,0,0,0,2
Tajikistan,0,0,0,3
Russian Federation,0,0,8,12
Ukraine,0,0,0,8
Lithuania,0,0,1,8
Eritrea,0,0,0,0
Kazakhstan,0,0,1,2
Belarus,0,0,0,6
"China, Macao Special Administrative Region",0,0,0,0
Turkmenistan,0,0,0,0
North Macedonia,0,0,0,6
Republic of Moldova,0,0,0,3
Bhutan,0,0,0,0
Azerbaijan,0,0,0,1
Georgia,0,0,0,0
Libya,0,0,0,0
British Virgin Islands,0,0,0,0
French Guiana,0,0,0,0
Czechia,0,0,0,9
Armenia,0,0,0,1
Slovakia,0,0,0,8
Seychelles,0,0,0,0
Kuwait,0,0,0,0
Kyrgyzstan,0,0,0,3
Bosnia and Herzegovina,0,0,0,4
Latvia,0,0,0,7
Croatia,0,0,0,8
Uzbekistan,0,0,0,0
Timor-Leste,0,0,0,0
Saint Helena,0,0,0,0
Cayman Islands,0,0,0,0
Northern Mariana Islands,0,0,0,0
Slovenia,0,0,0,5
Estonia,0,0,0,6
Serbia,0,0,0,11
Montenegro,0,0,0,4
South Sudan,0,0,0,0
State of Palestine,0,0,0,2
Palau,0,0,0,0
Saint Barth¨¦lemy,0,0,0,0
Saint Martin (French Part),0,0,0,0
Sint Maarten (Dutch part),0,0,0,0
United Arab Emirates,0,0,0,0
Qatar,0,0,0,0
Malta,0,0,0,2
Liechtenstein,0,0,0,1
Mayotte,0,0,0,0
Equatorial Guinea,0,0,0,0
